ID qu?n huy?n,ID t?nh thành,??n v?,Tên Qu?n huy?n,Tên ??y ??,,,,,,,,,,,,,,,,,,,,
91,26,Huy?n,An D??ng,"Huy?n An D??ng, H?i Phòng",,,,,,,,,,,,,,,,,,,,
92,26,Huy?n,An Lão,"Huy?n An Lão, H?i Phòng",,,,,,,,,,,,,,,,,,,,
93,26,Huy?n,B?ch Long V?,"Huy?n B?ch Long V?, H?i Phòng",,,,,,,,,,,,,,,,,,,,
94,26,Huy?n,Cát H?i,"Huy?n Cát H?i, H?i Phòng",,,,,,,,,,,,,,,,,,,,
95,26,Qu?n,?? S?n,"Qu?n ?? S?n, H?i Phòng",,,,,,,,,,,,,,,,,,,,
96,26,Qu?n,D??ng Kinh,"Qu?n D??ng Kinh, H?i Phòng",,,,,,,,,,,,,,,,,,,,
97,26,Qu?n,H?i An,"Qu?n H?i An, H?i Phòng",,,,,,,,,,,,,,,,,,,,
98,26,Qu?n,H?ng Bàng,"Qu?n H?ng Bàng, H?i Phòng",,,,,,,,,,,,,,,,,,,,
99,26,Qu?n,Ki?n An,"Qu?n Ki?n An, H?i Phòng",,,,,,,,,,,,,,,,,,,,
100,26,Huy?n,Ki?n Thu?,"Huy?n Ki?n Thu?, H?i Phòng",,,,,,,,,,,,,,,,,,,,
101,26,Qu?n,Lê Chân,"Qu?n Lê Chân, H?i Phòng",,,,,,,,,,,,,,,,,,,,
102,26,Qu?n,Ngô Quy?n,"Qu?n Ngô Quy?n, H?i Phòng",,,,,,,,,,,,,,,,,,,,
103,26,Huy?n,Thu? Nguyên,"Huy?n Thu? Nguyên, H?i Phòng",,,,,,,,,,,,,,,,,,,,
104,26,Huy?n,Tiên Lãng,"Huy?n Tiên Lãng, H?i Phòng",,,,,,,,,,,,,,,,,,,,
105,26,Huy?n,V?nh B?o,"Huy?n V?nh B?o, H?i Phòng",,,,,,,,,,,,,,,,,,,,
106,37,Huy?n,B?n L?c,"Huy?n B?n L?c, Long An",,,,,,,,,,,,,,,,,,,,
107,37,Huy?n,C?n ???c,"Huy?n C?n ???c, Long An",,,,,,,,,,,,,,,,,,,,
108,37,Huy?n,C?n Giu?c,"Huy?n C?n Giu?c, Long An",,,,,,,,,,,,,,,,,,,,
109,37,Huy?n,Châu Thành,"Huy?n Châu Thành, Long An",,,,,,,,,,,,,,,,,,,,
110,37,Huy?n,??c Hòa,"Huy?n ??c Hòa, Long An",,,,,,,,,,,,,,,,,,,,
111,37,Huy?n,??c Hu?,"Huy?n ??c Hu?, Long An",,,,,,,,,,,,,,,,,,,,
112,37,Th? xã,Ki?n T??ng,"Th? xã Ki?n T??ng, Long An",,,,,,,,,,,,,,,,,,,,
113,37,Huy?n,M?c Hóa,"Huy?n M?c Hóa, Long An",,,,,,,,,,,,,,,,,,,,
114,37,Thành ph?,Tân An,"Thành ph? Tân An, Long An",,,,,,,,,,,,,,,,,,,,
115,37,Huy?n,Tân H?ng,"Huy?n Tân H?ng, Long An",,,,,,,,,,,,,,,,,,,,
116,37,Huy?n,Tân Th?nh,"Huy?n Tân Th?nh, Long An",,,,,,,,,,,,,,,,,,,,
117,37,Huy?n,Tân Tr?,"Huy?n Tân Tr?, Long An",,,,,,,,,,,,,,,,,,,,
118,37,Huy?n,Th?nh Hóa,"Huy?n Th?nh Hóa, Long An",,,,,,,,,,,,,,,,,,,,
119,37,Huy?n,Th? Th?a,"Huy?n Th? Th?a, Long An",,,,,,,,,,,,,,,,,,,,
120,37,Huy?n,V?nh H?ng,"Huy?n V?nh H?ng, Long An",,,,,,,,,,,,,,,,,,,,
121,45,Huy?n,B?c Trà My,"Huy?n B?c Trà My, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
122,45,Huy?n,??i L?c,"Huy?n ??i L?c, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
123,45,Th? xã,Th? xã ?i?n Bàn,"Th? xã ?i?n Bàn, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
124,45,Huy?n,?ông Giang,"Huy?n ?ông Giang, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
125,45,Huy?n,Duy Xuyên,"Huy?n Duy Xuyên, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
126,45,Huy?n,Hi?p ??c,"Huy?n Hi?p ??c, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
127,45,Thành ph?,H?i An,"Thành ph? H?i An, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
128,45,Huy?n,Nam Giang,"Huy?n Nam Giang, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
129,45,Huy?n,Nam Trà My,"Huy?n Nam Trà My, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
130,45,Huy?n,Nông S?n,"Huy?n Nông S?n, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
131,45,Huy?n,Núi Thành,"Huy?n Núi Thành, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
132,45,Huy?n,Phú Ninh,"Huy?n Phú Ninh, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
133,45,Huy?n,Ph??c S?n,"Huy?n Ph??c S?n, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
134,45,Huy?n,Qu? S?n,"Huy?n Qu? S?n, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
135,45,Thành ph?,Tam K?,"Thành ph? Tam K?, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
136,45,Huy?n,Tây Giang,"Huy?n Tây Giang, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
137,45,Huy?n,Th?ng Bình,"Huy?n Th?ng Bình, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
138,45,Huy?n,Tiên Ph??c,"Huy?n Tiên Ph??c, Qu?ng Nam",,,,,,,,,,,,,,,,,,,,
139,67,Thành ph?,Bà R?a,"Thành ph? Bà R?a, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
140,67,Huy?n,Châu ??c,"Huy?n Châu ??c, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
141,67,Huy?n,Côn ??o,"Huy?n Côn ??o, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
142,67,Huy?n,??t ??,"Huy?n ??t ??, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
143,67,Huy?n,Long ?i?n,"Huy?n Long ?i?n, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
144,67,Th? xã,Phú M?,"Th? xã Phú M?, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
145,67,Thành ph?,V?ng Tàu,"Thành ph? V?ng Tàu, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
146,67,Huy?n,Xuyên M?c,"Huy?n Xuyên M?c, Bà R?a - V?ng Tàu",,,,,,,,,,,,,,,,,,,,
147,72,Huy?n,Buôn ?ôn,"Huy?n Buôn ?ôn, ??k L?k",,,,,,,,,,,,,,,,,,,,
148,72,Th? xã,Buôn H?,"Th? Xã Buôn H?, ??k L?k",,,,,,,,,,,,,,,,,,,,
149,72,Thành ph?,Buôn Ma Thu?t,"Thành ph? Buôn Ma Thu?t, ??k L?k",,,,,,,,,,,,,,,,,,,,
150,72,Huy?n,C? Kuin,"Huy?n C? Kuin, ??k L?k",,,,,,,,,,,,,,,,,,,,
151,72,Huy?n,C? M'gar,"Huy?n C? M'gar, ??k L?k",,,,,,,,,,,,,,,,,,,,
152,72,Huy?n,Ea H'Leo,"Huy?n Ea H'leo, ??k L?k",,,,,,,,,,,,,,,,,,,,
153,72,Huy?n,Ea Kar,"Huy?n Ea Kar, ??k L?k",,,,,,,,,,,,,,,,,,,,
154,72,Huy?n,Ea Súp,"Huy?n Ea Súp, ??k L?k",,,,,,,,,,,,,,,,,,,,
155,72,Huy?n,Krông A Na,"Huy?n Krông A Na, ??k L?k",,,,,,,,,,,,,,,,,,,,
156,72,Huy?n,Krông Bông,"Huy?n Krông Bông, ??k L?k",,,,,,,,,,,,,,,,,,,,
157,72,Huy?n,Krông Búk,"Huy?n Krông Búk, ??k L?k",,,,,,,,,,,,,,,,,,,,
158,72,Huy?n,Krông N?ng,"Huy?n Krông N?ng, ??k L?k",,,,,,,,,,,,,,,,,,,,
159,72,Huy?n,Krông P?c,"Huy?n Krông P?c, ??k L?k",,,,,,,,,,,,,,,,,,,,
160,72,Huy?n,L?k,"Huy?n L?k, ??k L?k",,,,,,,,,,,,,,,,,,,,
161,72,Huy?n,M'?r?k,"Huy?n M'?r?k, ??k L?k",,,,,,,,,,,,,,,,,,,,
162,14,Huy?n,Th?i Lai,"Huy?n Th?i Lai, C?n Th?",,,,,,,,,,,,,,,,,,,,
163,14,Qu?n,Bình Thu?,"Qu?n Bình Thu?, C?n Th?",,,,,,,,,,,,,,,,,,,,
164,14,Qu?n,Cái R?ng,"Qu?n Cái R?ng, C?n Th?",,,,,,,,,,,,,,,,,,,,
165,14,Huy?n,C? ??,"Huy?n C? ??, C?n Th?",,,,,,,,,,,,,,,,,,,,
166,14,Qu?n,Ninh Ki?u,"Qu?n Ninh Ki?u, C?n Th?",,,,,,,,,,,,,,,,,,,,
167,14,Qu?n,Ô Môn,"Qu?n Ô Môn, C?n Th?",,,,,,,,,,,,,,,,,,,,
168,14,Huy?n,Phong ?i?n,"Huy?n Phong ?i?n, C?n Th?",,,,,,,,,,,,,,,,,,,,
169,14,Qu?n,Th?t N?t,"Qu?n Th?t N?t, C?n Th?",,,,,,,,,,,,,,,,,,,,
170,14,Huy?n,V?nh Th?nh,"Huy?n V?nh Th?nh, C?n Th?",,,,,,,,,,,,,,,,,,,,
171,11,Huy?n,B?c Bình,"Huy?n B?c Bình, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
172,11,Huy?n,Phú Quí,"Huy?n Phú Quí, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
173,11,Huy?n,??c Linh,"Huy?n ??c Linh, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
174,11,Huy?n,Hàm Tân,"Huy?n Hàm Tân, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
175,11,Huy?n,Hàm Thu?n B?c,"Huy?n Hàm Thu?n B?c, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
176,11,Huy?n,Hàm Thu?n Nam,"Huy?n Hàm Thu?n Nam, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
177,11,Th? xã,La Gi,"Th? xã La Gi, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
178,11,Thành ph?,Phan Thi?t,"Thành ph? Phan Thi?t, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
179,11,Huy?n,Tánh Linh,"Huy?n Tánh Linh, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
180,11,Huy?n,Tuy Phong,"Huy?n Tuy Phong, Bình Thu?n",,,,,,,,,,,,,,,,,,,,
181,36,Huy?n,B?o Lâm,"Huy?n B?o Lâm, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
182,36,Thành ph?,B?o L?c,"Thành ph? B?o L?c, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
183,36,Huy?n,Cát Tiên,"Huy?n Cát Tiên, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
184,36,Huy?n,?? Huoai,"Huy?n ?? Huoai, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
185,36,Thành ph?,?à L?t,"Thành ph? ?à L?t, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
186,36,Huy?n,?? T?h,"Huy?n ?? T?h, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
187,36,Huy?n,?am Rông,"Huy?n ?am Rông, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
188,36,Huy?n,Di Linh,"Huy?n Di Linh, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
189,36,Huy?n,??n D??ng,"Huy?n ??n D??ng, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
190,36,Huy?n,??c Tr?ng,"Huy?n ??c Tr?ng, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
191,36,Huy?n,L?c D??ng,"Huy?n L?c D??ng, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
192,36,Huy?n,Lâm Hà,"Huy?n Lâm Hà, Lâm ??ng",,,,,,,,,,,,,,,,,,,,
193,55,Huy?n,A L??i,"Huy?n A L??i, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
194,55,Thành ph?,Hu?,"Thành ph? Hu?, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
195,55,Th? xã,H??ng Th?y,"Th? xã H??ng Th?y, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
196,55,Th? xã,Th? xã H??ng Trà,"Th? xã H??ng Trà, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
197,55,Huy?n,Nam ?ông,"Huy?n Nam ?ông, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
198,55,Huy?n,Phong ?i?n,"Huy?n Phong ?i?n, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
199,55,Huy?n,Phú L?c,"Huy?n Phú L?c, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
200,55,Huy?n,Phú Vang,"Huy?n Phú Vang, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
201,55,Huy?n,Qu?ng ?i?n,"Huy?n Qu?ng ?i?n, Th?a Thiên Hu?",,,,,,,,,,,,,,,,,,,,
202,31,Huy?n,An Biên,"Huy?n An Biên, Kiên Giang",,,,,,,,,,,,,,,,,,,,
203,31,Huy?n,An Minh,"Huy?n An Minh, Kiên Giang",,,,,,,,,,,,,,,,,,,,
204,31,Huy?n,Châu Thành,"Huy?n Châu Thành, Kiên Giang",,,,,,,,,,,,,,,,,,,,
205,31,Huy?n,Giang Thành,"Huy?n Giang Thành, Kiên Giang",,,,,,,,,,,,,,,,,,,,
206,31,Huy?n,Gi?ng Ri?ng,"Huy?n Gi?ng Ri?ng, Kiên Giang",,,,,,,,,,,,,,,,,,,,
207,31,Huy?n,Gò Quao,"Huy?n Gò Quao, Kiên Giang",,,,,,,,,,,,,,,,,,,,
208,31,Thành ph?,Thành ph? Hà Tiên,"Thành ph? Hà Tiên, Kiên Giang",,,,,,,,,,,,,,,,,,,,
209,31,Huy?n,Hòn ??t,"Huy?n Hòn ??t, Kiên Giang",,,,,,,,,,,,,,,,,,,,
210,31,Huy?n,Kiên H?i,"Huy?n Kiên H?i, Kiên Giang",,,,,,,,,,,,,,,,,,,,
211,31,Huy?n,Kiên L??ng,"Huy?n Kiên L??ng, Kiên Giang",,,,,,,,,,,,,,,,,,,,
212,31,Thành ph?,Thành ph? Phú Qu?c,"Thành ph? Phú Qu?c, Kiên Giang",,,,,,,,,,,,,,,,,,,,
213,31,Thành ph?,R?ch Giá,"Thành ph? R?ch Giá, Kiên Giang",,,,,,,,,,,,,,,,,,,,
214,31,Huy?n,Tân Hi?p,"Huy?n Tân Hi?p, Kiên Giang",,,,,,,,,,,,,,,,,,,,
215,31,Huy?n,U minh Th??ng,"Huy?n U Minh Th??ng, Kiên Giang",,,,,,,,,,,,,,,,,,,,
216,31,Huy?n,V?nh Thu?n,"Huy?n V?nh Thu?n, Kiên Giang",,,,,,,,,,,,,,,,,,,,
217,6,Thành ph?,B?c Ninh,"Thành ph? B?c Ninh, B?c Ninh",,,,,,,,,,,,,,,,,,,,
218,6,Huy?n,Gia Bình,"Huy?n Gia Bình, B?c Ninh",,,,,,,,,,,,,,,,,,,,
219,6,Huy?n,L??ng Tài,"Huy?n L??ng Tài, B?c Ninh",,,,,,,,,,,,,,,,,,,,
220,6,Huy?n,Qu? Võ,"Huy?n Qu? Võ, B?c Ninh",,,,,,,,,,,,,,,,,,,,
221,6,Huy?n,Thu?n Thành,"Huy?n Thu?n Thành, B?c Ninh",,,,,,,,,,,,,,,,,,,,
222,6,Huy?n,Tiên Du,"Huy?n Tiên Du, B?c Ninh",,,,,,,,,,,,,,,,,,,,
223,6,Thành ph?,Thành ph? T? S?n,"Thành ph? T? S?n, B?c Ninh",,,,,,,,,,,,,,,,,,,,
224,6,Huy?n,Yên Phong,"Huy?n Yên Phong, B?c Ninh",,,,,,,,,,,,,,,,,,,,
225,47,Huy?n,Ba Ch?,"Huy?n Ba Ch?, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
226,47,Huy?n,Bình Liêu,"Huy?n Bình Liêu, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
227,47,Thành ph?,C?m Ph?,"Thành ph? C?m Ph?, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
228,47,Huy?n,Cô Tô,"Huy?n Cô Tô, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
229,47,Huy?n,??m Hà,"Huy?n ??m Hà, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
230,47,Th? xã,?ông Tri?u,"Th? xã ?ông Tri?u, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
