ID Ph??ng xã,ID t?nh thành,ID Qu?n huy?n,??n v?,Tên Ph??ng xã,,
1108,17,72,Xã,Xuân Qu?,,
1109,17,72,Xã,Xuân Tây,,
1110,17,73,Th? tr?n,??nh Quán,,
1113,17,73,Xã,Ng?c ??nh,,
1117,17,73,Xã,Phú Ng?c,,
1119,17,73,Xã,Phú Túc,,
1120,17,73,Xã,Phú Vinh,,
1121,17,73,Xã,Su?i Nho,,
1141,17,75,Xã,Bàu C?n,,
1143,17,75,Xã,Bình S?n,,
1145,17,75,Xã,L?c An,,
1146,17,75,Xã,Long An,,
1147,17,75,Xã,Long ??c,,
1148,17,75,Xã,Long Ph??c,,
1149,17,75,Th? tr?n,Long Thành,,
1150,17,75,Xã,Ph??c Bình,,
1155,17,75,Xã,Tân Hi?p,,
1158,17,76,Xã,Long Tân,,
1163,17,76,Xã,Phú Th?nh,,
1164,17,76,Xã,Ph??c An,,
1166,17,76,Xã,Ph??c Thi?n,,
1187,17,78,Th? tr?n,D?u Giây,,
1188,17,78,Xã,Gia Ki?m,,
1191,17,78,Xã,Gia Tân 3,,
1196,17,78,Xã,Xuân Thi?n,,
1198,17,79,Xã,B?c S?n,,
1199,17,79,Xã,Bàu Hàm,,
1200,17,79,Xã,Bình Minh,,
1204,17,79,Xã,Giang ?i?n,,
1205,17,79,Xã,H? Nai 3,,
1207,17,79,Xã,H?ng Th?nh,,
1208,17,79,Xã,Qu?ng Ti?n,,
1209,17,79,Xã,Sông Thao,,
1211,17,79,Xã,Tây Hoà,,
1212,17,79,Xã,Thanh Bình,,
1214,17,79,Xã,Trung Hoà,,
1215,17,80,Xã,Bình Hòa,,
1218,17,80,Xã,Mã ?à,,
1219,17,80,Xã,Phú Lý,,
1221,17,80,Xã,Tân Bình,,
1222,17,80,Xã,Th?nh Phú,,
1226,17,80,Xã,V?nh Tân,,
1229,17,81,Xã,Lang Minh,,
1232,17,81,Xã,Xuân B?c,,
1234,17,81,Xã,Xuân Hi?p,,
1237,17,81,Xã,Xuân Phú,,
1241,17,81,Xã,Xuân Tr??ng,,
1243,30,82,Xã,Cam An Nam,,
1244,30,82,Th? tr?n,Cam ??c,,
1246,30,82,Xã,Cam H?i Tây,,
1247,30,82,Xã,Cam Hi?p B?c,,
1248,30,82,Xã,Cam Hi?p Nam,,
1252,30,82,Xã,Cam Thành B?c,,
1254,30,82,Xã,Su?i Cát,,
1256,30,83,Ph??ng,Ba Ngòi,,
1257,30,83,Xã,Cam Bình,,
1259,30,83,Ph??ng,Cam Linh,,
1261,30,83,Ph??ng,Cam L?i,,
1262,30,83,Ph??ng,Cam Ngh?a,,
1263,30,83,Ph??ng,Cam Phú,,
1264,30,83,Ph??ng,Cam Phúc B?c,,
1265,30,83,Ph??ng,Cam Phúc Nam,,
1266,30,83,Xã,Cam Ph??c ?ông,,
1267,30,83,Xã,Cam Thành Nam,,
1268,30,83,Xã,Cam Th?nh ?ông,,
1269,30,83,Xã,Cam Th?nh Tây,,
1270,30,83,Ph??ng,Cam Thu?n,,
1271,30,84,Xã,Diên An,,
1274,30,84,Xã,Diên ??ng,,
1277,30,84,Xã,Diên L?c,,
1278,30,84,Xã,Diên Lâm,,
1280,30,84,Xã,Diên Phú,,
1281,30,84,Xã,Diên Ph??c,,
1283,30,84,Xã,Diên Tân,,
1284,30,84,Xã,Diên Th?nh,,
1287,30,84,Xã,Diên Xuân,,
1289,30,84,Xã,Su?i Tiên,,
1292,30,85,Xã,S?n Bình,,
1293,30,85,Xã,S?n Hi?p,,
1294,30,85,Xã,S?n Lâm,,
1296,30,85,Xã,Thành S?n,,
1302,30,86,Xã,Khánh Hi?p,,
1303,30,86,Xã,Khánh Nam,,
1304,30,86,Xã,Khánh Phú,,
1305,30,86,Xã,Khánh Thành,,
1311,30,86,Xã,Sông C?u,,
1315,30,87,Ph??ng,Ph??c H?i,,
1316,30,87,Ph??ng,Ph??c Hòa,,
1317,30,87,Ph??ng,Ph??c Long,,
1319,30,87,Ph??ng,Ph??c Ti?n,,
1322,30,87,Ph??ng,Tân L?p,,
1324,30,87,Ph??ng,V?n Th?nh,,
1325,30,87,Ph??ng,V?nh H?i,,
1329,30,87,Xã,V?nh Ng?c,,
1331,30,87,Ph??ng,V?nh Ph??c,,
1333,30,87,Xã,V?nh Thái,,
1334,30,87,Xã,V?nh Th?nh,,
1368,30,89,Xã,Song T? Tây,,
1371,30,90,Xã,V?n Bình,,
1372,30,90,Th? tr?n,V?n Giã,,
1376,30,90,Xã,V?n L??ng,,
1377,30,90,Xã,V?n Phú,,
1378,30,90,Xã,V?n Ph??c,,
1380,30,90,Xã,V?n Th?nh,,
1381,30,90,Xã,V?n Th?,,
1383,26,91,Xã,An ??ng,,
1386,26,91,Xã,An Hoà,,
1387,26,91,Xã,An H?ng,,
1388,26,91,Xã,An H?ng,,
1389,26,91,Xã,B?c S?n,,
1390,26,91,Xã,??i B?n,,
1391,26,91,Xã,??ng C??ng,,
1392,26,91,Xã,??ng Thái,,
1399,26,91,Xã,Qu?c Tu?n,,
1400,26,91,Xã,Tân Ti?n,,
1402,26,92,Xã,An Thái,,
1404,26,92,Xã,An Th?,,
1405,26,92,Xã,An Ti?n,,
1407,26,92,Xã,Chi?n Th?ng,,
1408,26,92,Xã,M? ??c,,
1410,26,92,Xã,Quang Trung,,
1412,26,92,Xã,Tân Dân,,
1414,26,92,Xã,Thái S?n,,
1423,26,94,Xã,Hoàng Châu,,
1424,26,94,Xã,Ngh?a L?,,
1425,26,94,Xã,Phù Long,,
1430,26,95,Ph??ng,Bàng La,,
1432,26,95,Ph??ng,Minh ??c,,
1435,26,95,Ph??ng,V?n H??ng,,
1439,26,96,Ph??ng,H?i Thành,,
1443,26,97,Ph??ng,??ng H?i,,
1447,26,97,Ph??ng,?ông H?i 1,,
1448,26,97,Ph??ng,?ông H?i 2,,
1450,26,97,Ph??ng,Thành Tô,,
1454,26,98,Ph??ng,Hùng V??ng,,
1463,26,98,Ph??ng,Tr?i Chu?i,,
1468,26,99,Ph??ng,Nam S?n,,
1469,26,99,Ph??ng,Ng?c S?n,,
1470,26,99,Ph??ng,Phù Li?n,,
1471,26,99,Ph??ng,Quán Tr?,,
1472,26,99,Ph??ng,Tr?n Thành Ng?,,
1473,26,99,Ph??ng,Tràng Minh,,
1474,26,99,Ph??ng,V?n ??u,,
1495,26,101,Ph??ng,Kênh D??ng,,
1496,26,101,Ph??ng,An Biên,,
1501,26,101,Ph??ng,Hàng Kênh,,
1503,26,101,Ph??ng,Lam S?n,,
1504,26,101,Ph??ng,Ngh?a Xá,,
1505,26,101,Ph??ng,Ni?m Ngh?a,,
1508,26,101,Ph??ng,V?nh Ni?m,,
1511,26,102,Ph??ng,L?c Viên,,
1513,26,102,Ph??ng,C?u Tre,,
1517,26,102,Ph??ng,L?ch Tray,,
1523,26,103,Xã,?ông S?n,,
1524,26,103,Xã,Gia Minh,,
1525,26,103,Xã,Hoà Bình,,
1527,26,103,Xã,Ki?n Bái,,
1528,26,103,Xã,Lâm ??ng,,
1529,26,103,Xã,Ph?c L?,,
1531,26,103,Xã,Thu? ???ng,,
1532,26,103,Xã,An L?,,
1536,26,103,Xã,Gia ??c,,
1538,26,103,Xã,Hoàng ??ng,,
1540,26,103,Xã,K? S?n,,
1541,26,103,Xã,L?i Xuân,,
1542,26,103,Xã,L?p L?,,
1543,26,103,Xã,Liên Khê,,
1544,26,103,Xã,L?u Ki?m,,
1545,26,103,Xã,L?u K?,,
1547,26,103,Xã,Minh Tân,,
1549,26,103,Xã,Ng? Lão,,
1551,26,103,Xã,Ph? L?,,
1552,26,103,Xã,Phù Ninh,,
1553,26,103,Xã,Qu?ng Thanh,,
1555,26,103,Xã,Thiên H??ng,,
1558,26,103,Xã,Trung Hà,,
1559,26,104,Xã,?ông H?ng,,
1560,26,104,Xã,B?c H?ng,,
1562,26,104,Xã,C?p Ti?n,,
1563,26,104,Xã,??i Th?ng,,
1564,26,104,Xã,?oàn L?p,,
1565,26,104,Xã,Hùng Th?ng,,
1566,26,104,Xã,Kh?i Ngh?a,,
1568,26,104,Xã,Nam H?ng,,
1570,26,104,Xã,Quy?t Ti?n,,
1571,26,104,Xã,Tây H?ng,,
1576,26,104,Xã,Tiên Th?ng,,
1577,26,104,Xã,Tiên Thanh,,
1580,26,104,Xã,T? C??ng,,
1584,26,105,Xã,C? Am,,
1586,26,105,Xã,??ng Minh,,
1587,26,105,Xã,D?ng Ti?n,,
1589,26,105,Xã,Hi?p Hoà,,
1591,26,105,Xã,H?ng Nhân,,
1596,26,105,Xã,Tam C??ng,,
1600,26,105,Xã,Th?ng Thu?,,
1601,26,105,Xã,Thanh L??ng,,
1603,26,105,Xã,Tr?n D??ng,,
1605,26,105,Xã,Vi?t Ti?n,,
1608,26,105,Xã,V?nh Long,,
1610,26,105,Xã,Vinh Quang,,
1616,37,106,Xã,L??ng Bình,,
1619,37,106,Xã,Nh?t Chánh,,
1620,37,106,Xã,Ph??c L?i,,
1622,37,106,Xã,Tân Hòa,,
1623,37,106,Xã,Th?nh ??c,,
1625,37,106,Xã,Th?nh L?i,,
1627,37,107,Th? tr?n,C?n ???c,,
1629,37,107,Xã,Long ??nh,,
1630,37,107,Xã,Long Hòa,,
1631,37,107,Xã,Long H?u ?ông,,
1634,37,107,Xã,Long S?n,,
1637,37,107,Xã,M? L?,,
1638,37,107,Xã,Ph??c ?ông,,
1641,37,107,Xã,Tân Ân,,
1642,37,107,Xã,Tân Chánh,,
1645,37,108,Th? tr?n,C?n Giu?c,,
1648,37,108,Xã,Long H?u,,
1650,37,108,Xã,Long Th??ng,,
1651,37,108,Xã,M? L?c,,
1652,37,108,Xã,Ph??c H?u,,
1655,37,108,Xã,Ph??c Lý,,
1660,37,108,Xã,Thu?n Thành,,
1662,37,109,Xã,An L?c Long,,
1663,37,109,Xã,Bình Qu?i,,
1665,37,109,Xã,D??ng Xuân H?i,,
1666,37,109,Xã,Hi?p Th?nh,,
1668,37,109,Xã,Long Trì,,
1670,37,109,Xã,Ph??c Tân H?ng,,
1671,37,109,Th? tr?n,T?m Vu,,
1672,37,109,Xã,Thanh Phú Long,,
1674,37,109,Xã,Thu?n M?,,
1698,37,111,Xã,Bình Hòa Nam,,
1699,37,111,Xã,Bình Thành,,
1702,37,111,Xã,M? Quý ?ông,,
1703,37,111,Xã,M? Quý Tây,,
1704,37,111,Xã,M? Th?nh B?c,,
1706,37,111,Xã,M? Th?nh Tây,,
1708,37,112,Ph??ng,2,,
1713,37,112,Xã,Th?nh Tr?,,
1716,37,113,Xã,Bình Hòa Tây,,
1717,37,113,Xã,Bình Hòa Trung,,
1719,37,113,Xã,Bình Th?nh,,
1721,37,113,Xã,Tân Thành,,
1724,37,114,Ph??ng,3,,
1725,37,114,Ph??ng,4,,
